Coordenada X,Coordenada Y,"Tipo tiro (1 = de uno en uno, 2 = ráfaga)","Resultado (fallo = 1, golpe = 2, eliminacion de objetivo = 3)","Tipo de nave golpeada (1 satelite, 2 avion, 3 barco, 4 submarino)",Emisor,Receptor,Fecha,Tiempo Restante,Número de Tiro
Z,7,1,3,4,Mord86,Stin94,8/1/2015,,1
Q,3,1,1,3,Stin94,Mord96,8/1/2015,,2
K,9,1,1,1,Mord86,Stin94,8/1/2015,,3
Y,12,1,1,4,Stin94,Mord96,8/1/2015,,4
Q,26,1,3,1,Mord86,Stin94,8/1/2015,,5
I,19,1,1,2,Stin94,Mord96,8/1/2015,,6
J,1,1,1,1,Mord86,Stin94,8/1/2015,,7
B,20,1,1,2,Stin94,Mord96,8/1/2015,,8
D,12,1,3,1,Mord86,Stin94,8/1/2015,,9
AD,23,1,1,1,Stin94,Mord96,8/1/2015,,10
M,17,1,1,2,Mord86,Stin94,8/1/2015,,11
Y,26,1,2,3,Stin94,Mord96,8/1/2015,,12
J,13,1,3,2,Mord86,Stin94,8/1/2015,,13
A,23,1,2,2,Stin94,Mord96,8/1/2015,,14
I,15,1,2,4,Mord86,Stin94,8/1/2015,,15
B,23,1,1,4,Stin94,Mord96,8/1/2015,,16
B,30,1,3,2,Mord86,Stin94,8/1/2015,,17
I,30,1,1,3,Stin94,Mord96,8/1/2015,,18
U,4,1,1,2,Mord86,Stin94,8/1/2015,,19
AD,1,1,3,3,Stin94,Mord96,8/1/2015,,20
B,6,1,1,3,Mord86,Stin94,8/1/2015,,21
U,17,1,1,3,Stin94,Mord96,8/1/2015,,22
K,10,1,1,2,Mord86,Stin94,8/1/2015,,23
K,4,1,1,1,Stin94,Mord96,8/1/2015,,24
F,5,1,2,1,Mord86,Stin94,8/1/2015,,25
